step,epoch,loss,lr,grad_norm,logit_scale
0,0,5.8131794929504395,0.0,11.219459533691406,2.6592600345611572
50,0,,,,
50,1,4.544557571411133,7.5e-05,3.80007004737854,2.65956974029541
100,1,,,,
100,2,4.2458882331848145,0.00015,13.90919017791748,2.659498691558838
150,2,,,,
150,3,4.2122039794921875,0.000225,15.516722679138184,2.6568169593811035
200,3,,,,
200,4,3.9824438095092773,0.0003,5.9304986000061035,2.651322364807129
250,4,,,,
250,5,3.9273104667663574,0.00029711779206048454,6.828986644744873,2.6442067623138428
300,5,,,,
300,6,3.7826647758483887,0.000288581929876693,3.215916633605957,2.638284206390381
350,6,,,,
350,7,3.7361302375793457,0.0002747204418453818,5.321066379547119,2.633683443069458
400,7,,,,
400,8,3.7429251670837402,0.00025606601717798207,3.2676379680633545,2.629066228866577
450,8,,,,
450,9,3.597057342529297,0.0002333355349529403,3.309920072555542,2.6255195140838623
500,9,,,,
500,10,3.497617244720459,0.00020740251485476345,2.910585880279541,2.62214994430542
550,10,,,,
550,11,3.5704808235168457,0.00017926354830241924,6.22774076461792,2.619318723678589
600,11,,,,
600,12,3.491981029510498,0.00015,3.8626468181610107,2.6171507835388184
650,12,,,,
650,13,3.4464104175567627,0.00012073645169758076,7.607921123504639,2.616757392883301
700,13,,,,
700,14,3.449287176132202,9.259748514523653e-05,8.420245170593262,2.6160454750061035
750,14,,,,
750,15,3.418710231781006,6.66644650470597e-05,3.4905343055725098,2.6159000396728516
800,15,,,,
800,16,3.3749310970306396,4.3933982822017876e-05,2.5997509956359863,2.6161651611328125
850,16,,,,
850,17,3.372574806213379,2.5279558154618197e-05,2.875061511993408,2.6162192821502686
900,17,,,,
900,18,3.4068350791931152,1.1418070123306989e-05,4.993738651275635,2.61635684967041
950,18,,,,
950,19,3.371344566345215,2.882207939515435e-06,2.6458940505981445,2.616446018218994
1000,19,,,,
