step,epoch,loss,lr,grad_norm,logit_scale
0,0,5.61043643951416,0.0,5.5170488357543945,2.6592600345611572
50,0,,,,
50,1,4.569188594818115,7.5e-05,2.4753098487854004,2.6595776081085205
100,1,,,,
100,2,4.159001350402832,0.00015,6.439831256866455,2.6595754623413086
150,2,,,,
150,3,4.107900142669678,0.000225,9.742176055908203,2.6564533710479736
200,3,,,,
200,4,4.096955299377441,0.0003,9.463298797607422,2.6513376235961914
250,4,,,,
250,5,3.81308650970459,0.00029711779206048454,4.079415798187256,2.645596504211426
300,5,,,,
300,6,3.7129034996032715,0.000288581929876693,5.491112232208252,2.640103340148926
350,6,,,,
350,7,3.6496262550354004,0.0002747204418453818,2.672820806503296,2.6348934173583984
400,7,,,,
400,8,3.568636655807495,0.00025606601717798207,6.106781482696533,2.6298654079437256
450,8,,,,
450,9,3.638070583343506,0.0002333355349529403,6.120010852813721,2.6252264976501465
500,9,,,,
500,10,3.5651206970214844,0.00020740251485476345,3.600508213043213,2.6217710971832275
550,10,,,,
550,11,3.5631701946258545,0.00017926354830241924,4.194954872131348,2.619518756866455
600,11,,,,
600,12,3.4585514068603516,0.00015,4.288683891296387,2.6183016300201416
650,12,,,,
650,13,3.414278984069824,0.00012073645169758076,2.3239517211914062,2.6175570487976074
700,13,,,,
700,14,3.358386516571045,9.259748514523653e-05,2.239694833755493,2.6171998977661133
750,14,,,,
750,15,3.375424861907959,6.66644650470597e-05,2.8474409580230713,2.616825580596924
800,15,,,,
800,16,3.3661932945251465,4.3933982822017876e-05,2.7737624645233154,2.6170687675476074
850,16,,,,
850,17,3.4057600498199463,2.5279558154618197e-05,4.238357067108154,2.6173720359802246
900,17,,,,
900,18,3.3517580032348633,1.1418070123306989e-05,1.573142647743225,2.6175270080566406
950,18,,,,
950,19,3.3270673751831055,2.882207939515435e-06,2.7240962982177734,2.6176345348358154
1000,19,,,,
