step,epoch,loss,lr,grad_norm
0,0,3.9325599670410156,0.0,3.3249881267547607
25,0,3.738264799118042,1.25e-05,3.035346746444702
50,0,3.5096960067749023,2.5e-05,2.931863307952881
75,0,2.8862595558166504,3.7500000000000003e-05,2.845029830932617
100,0,2.681610107421875,5e-05,3.5819664001464844
125,0,2.306720018386841,4.995892952796074e-05,3.4773764610290527
147,0,,,
150,1,2.263247489929199,4.9835853054536846e-05,4.18054723739624
175,1,2.3885037899017334,4.963117496443715e-05,4.259949207305908
200,1,2.035585403442383,4.934556775572377e-05,5.004294395446777
225,1,2.033783435821533,4.8979969830227086e-05,4.651288986206055
250,1,1.9309675693511963,4.853558241029723e-05,4.3741044998168945
275,1,1.7730576992034912,4.801386559202259e-05,4.666738510131836
294,1,,,
300,2,1.8247621059417725,4.741653354788295e-05,5.695711135864258
325,2,1.974393367767334,4.674554889459968e-05,6.187769412994385
350,2,1.7689038515090942,4.60031162446881e-05,5.36051607131958
375,2,1.789275884628296,4.5191674962899314e-05,7.573482036590576
400,2,1.5721328258514404,4.4313891151351375e-05,4.860903739929199
425,2,1.6595265865325928,4.3372648889683364e-05,5.673469543457031
441,2,,,
450,3,1.7440729141235352,4.237104075901449e-05,6.674145221710205
475,3,1.4583417177200317,4.1312357680842735e-05,6.3306427001953125
500,3,1.5839333534240723,4.0200078104268944e-05,5.828999042510986
525,3,1.546545386314392,3.903785657707307e-05,6.036684513092041
550,3,1.4473884105682373,3.782951173819403e-05,6.6084723472595215
575,3,1.5680279731750488,3.6579013771065305e-05,6.253964900970459
588,3,,,
600,4,1.3378099203109741,3.529047135903045e-05,5.179314613342285
625,4,1.3984359502792358,3.396811818569785e-05,6.346927165985107
650,4,1.4557454586029053,3.261629902459e-05,7.810374736785889
675,4,1.3577964305877686,3.12394554637916e-05,6.2763543128967285
700,4,1.4523024559020996,2.9842111312499914e-05,5.7206034660339355
725,4,1.3079744577407837,2.8428857737426556e-05,5.537055492401123
735,4,,,
750,5,1.4289151430130005,2.7004338177886672e-05,6.259652614593506
775,5,1.2648487091064453,2.557323308913942e-05,6.160048007965088
800,5,1.3907489776611328,2.4140244564107402e-05,6.2531418800354
825,5,1.2879736423492432,2.2710080884002632e-05,7.315164089202881
850,5,1.0705277919769287,2.128744104861991e-05,6.574948310852051
875,5,1.3191550970077515,1.987699933712573e-05,7.174818515777588
882,5,,,
900,6,1.2895803451538086,1.8483389950070097e-05,6.374915599822998
925,6,1.2739753723144531,1.7111191783082155e-05,6.531544208526611
950,6,1.4365348815917969,1.5764913382277903e-05,7.637168884277344
975,6,1.2225360870361328,1.4448978130810715e-05,7.842059135437012
1000,6,1.117260456085205,1.316770971523667e-05,6.784200191497803
1025,6,1.1407963037490845,1.1925317919446674e-05,6.400681972503662
1029,6,,,
1050,7,1.2572379112243652,1.0725884792841598e-05,6.719732284545898
1075,7,1.0973910093307495,9.573351238196598e-06,8.14268970489502
1100,7,1.2323055267333984,8.471504063282082e-06,6.884654521942139
1125,7,1.2434890270233154,7.4239635387851615e-06,6.439614772796631
1150,7,1.1485310792922974,6.434171503411557e-06,5.682365417480469
1175,7,1.3561112880706787,5.505380055250325e-06,7.0742573738098145
1176,7,,,
1200,8,1.1549614667892456,4.640640866557644e-06,6.6554856300354
1225,8,1.2606174945831299,3.842795157067147e-06,8.33682918548584
1250,8,1.2012075185775757,3.114464358771102e-06,7.029272556304932
1275,8,1.1352136135101318,2.4580415028444326e-06,7.589601039886475
1300,8,1.0540893077850342,1.8756833570111709e-06,6.312625885009766
1323,8,,,
1325,9,1.0249429941177368,1.3693033391869365e-06,6.701435089111328
1350,9,0.9206629395484924,9.405652306807954e-07,6.461427211761475
1375,9,1.1095213890075684,5.9087770961255e-07,6.825987815856934
1400,9,1.1517744064331055,3.213897225067264e-07,6.73970365524292
1425,9,1.0504095554351807,1.3298670927046342e-07,6.757429599761963
1450,9,1.127207636833191,2.628769395874586e-08,7.0254340171813965
1470,9,,,
