step,epoch,loss,lr,grad_norm
0,0,3.9400205612182617,0.0,2.1602365970611572
25,0,3.932788372039795,2.5e-05,2.308806896209717
50,0,3.890613555908203,5e-05,2.0812418460845947
75,0,3.7231106758117676,7.500000000000001e-05,1.853994369506836
100,0,3.5508623123168945,0.0001,1.9585267305374146
125,0,3.3839197158813477,9.991785905592148e-05,2.0378918647766113
147,0,,,
150,1,3.24210524559021,9.967170610907369e-05,1.8083534240722656
175,1,3.2228310108184814,9.92623499288743e-05,1.9691554307937622
200,1,3.095445156097412,9.869113551144754e-05,1.8301596641540527
225,1,3.1317639350891113,9.795993966045417e-05,1.7267104387283325
250,1,2.9672951698303223,9.707116482059446e-05,1.6600651741027832
275,1,2.975693702697754,9.602773118404518e-05,1.8889093399047852
294,1,,,
300,2,2.881814479827881,9.48330670957659e-05,1.613271713256836
325,2,2.8906095027923584,9.349109778919936e-05,1.6549445390701294
350,2,2.837994337081909,9.20062324893762e-05,1.6895705461502075
375,2,2.765509605407715,9.038334992579863e-05,1.70781409740448
400,2,2.7519378662109375,8.862778230270275e-05,1.9996527433395386
425,2,2.7271335124969482,8.674529777936673e-05,1.6205878257751465
441,2,,,
450,3,2.7423501014709473,8.474208151802898e-05,1.7564154863357544
475,3,2.647441864013672,8.262471536168547e-05,1.8844327926635742
500,3,2.8838038444519043,8.040015620853789e-05,1.8502552509307861
525,3,2.649298667907715,7.807571315414614e-05,1.836222767829895
550,3,2.6441187858581543,7.565902347638806e-05,1.7256109714508057
575,3,2.778862714767456,7.315802754213061e-05,1.8323087692260742
588,3,,,
600,4,2.5646958351135254,7.05809427180609e-05,1.7682530879974365
625,4,2.5591650009155273,6.79362363713957e-05,1.7186872959136963
650,4,2.6718664169311523,6.523259804918e-05,1.688392162322998
675,4,2.453699827194214,6.24789109275832e-05,1.748116135597229
700,4,2.658369302749634,5.968422262499983e-05,1.938475251197815
725,4,2.496401309967041,5.685771547485311e-05,1.860634446144104
735,4,,,
750,5,2.557145357131958,5.4008676355773344e-05,1.82720947265625
775,5,2.599186420440674,5.114646617827884e-05,1.8895963430404663
800,5,2.6054940223693848,4.8280489128214804e-05,1.8422136306762695
825,5,2.6148509979248047,4.5420161768005264e-05,1.9847625494003296
850,5,2.5126876831054688,4.257488209723982e-05,1.7727351188659668
875,5,2.463836431503296,3.975399867425146e-05,1.953655481338501
882,5,,,
900,6,2.421205997467041,3.6966779900140194e-05,1.7717372179031372
925,6,2.422255516052246,3.422238356616431e-05,1.8016635179519653
950,6,2.548485517501831,3.1529826764555806e-05,1.7024133205413818
975,6,2.4867236614227295,2.889795626162143e-05,1.751515507698059
1000,6,2.4545187950134277,2.633541943047334e-05,1.8685331344604492
1025,6,2.418393611907959,2.3850635838893348e-05,1.858183741569519
1029,6,,,
1050,7,2.4422976970672607,2.1451769585683197e-05,1.9325066804885864
1075,7,2.367016077041626,1.9146702476393196e-05,1.7502458095550537
1100,7,2.473160982131958,1.6943008126564163e-05,1.8297502994537354
1125,7,2.475313663482666,1.4847927077570323e-05,2.135741710662842
1150,7,2.5371036529541016,1.2868343006823114e-05,2.0266854763031006
1175,7,2.332566499710083,1.101076011050065e-05,1.9081257581710815
1176,7,,,
1200,8,2.423557758331299,9.281281733115288e-06,1.8563467264175415
1225,8,2.339323043823242,7.685590314134294e-06,1.8660084009170532
1250,8,2.392490863800049,6.228928717542204e-06,1.8114699125289917
1275,8,2.4250102043151855,4.916083005688865e-06,1.9346116781234741
1300,8,2.2842931747436523,3.7513667140223417e-06,1.725879192352295
1323,8,,,
1325,9,2.3254752159118652,2.738606678373873e-06,1.79747474193573
1350,9,2.47627854347229,1.8811304613615909e-06,2.0589849948883057
1375,9,2.360049247741699,1.1817554192251e-06,2.009826898574829
1400,9,2.616393804550171,6.427794450134528e-07,1.7108796834945679
1425,9,2.538273811340332,2.6597341854092684e-07,2.0189151763916016
1450,9,2.4998650550842285,5.257538791749172e-08,1.9842561483383179
1470,9,,,
