step,epoch,loss,lr,grad_norm
0,0,3.912290096282959,0.0,2.1255106925964355
25,0,3.9436235427856445,2.5e-05,2.100653648376465
50,0,3.8198113441467285,5e-05,1.8565975427627563
75,0,3.7424511909484863,7.500000000000001e-05,1.770821452140808
100,0,3.5050363540649414,0.0001,1.7613980770111084
125,0,3.3128457069396973,9.991785905592148e-05,1.8522357940673828
147,0,,,
150,1,3.1397900581359863,9.967170610907369e-05,1.9031895399093628
175,1,3.19242000579834,9.92623499288743e-05,1.8703006505966187
200,1,2.9778215885162354,9.869113551144754e-05,1.8263496160507202
225,1,2.816023349761963,9.795993966045417e-05,1.9509819746017456
250,1,2.9450831413269043,9.707116482059446e-05,2.0440940856933594
275,1,2.7331042289733887,9.602773118404518e-05,2.163640022277832
294,1,,,
300,2,2.8545756340026855,9.48330670957659e-05,1.9856716394424438
325,2,2.666782855987549,9.349109778919936e-05,2.0051357746124268
350,2,2.6033174991607666,9.20062324893762e-05,1.7798033952713013
375,2,2.6712965965270996,9.038334992579863e-05,2.116689920425415
400,2,2.51155161857605,8.862778230270275e-05,2.0950708389282227
425,2,2.511098861694336,8.674529777936673e-05,2.059345245361328
441,2,,,
450,3,2.480086088180542,8.474208151802898e-05,1.9500312805175781
475,3,2.532550811767578,8.262471536168547e-05,2.2145533561706543
500,3,2.4437479972839355,8.040015620853789e-05,1.9697097539901733
525,3,2.4496636390686035,7.807571315414614e-05,2.4180667400360107
550,3,2.571732997894287,7.565902347638806e-05,2.3573458194732666
575,3,2.2629823684692383,7.315802754213061e-05,1.9729992151260376
588,3,,,
600,4,2.378526210784912,7.05809427180609e-05,2.248152017593384
625,4,2.377717971801758,6.79362363713957e-05,2.202399253845215
650,4,2.1884143352508545,6.523259804918e-05,2.2248947620391846
675,4,2.5496435165405273,6.24789109275832e-05,1.9819157123565674
700,4,2.1163229942321777,5.968422262499983e-05,2.141580104827881
725,4,2.1959714889526367,5.685771547485311e-05,2.0498459339141846
735,4,,,
750,5,2.23067569732666,5.4008676355773344e-05,2.464860200881958
775,5,2.2882418632507324,5.114646617827884e-05,2.7736263275146484
800,5,2.138235569000244,4.8280489128214804e-05,2.2523396015167236
825,5,2.126516580581665,4.5420161768005264e-05,2.233360528945923
850,5,2.289316177368164,4.257488209723982e-05,2.1832213401794434
875,5,2.0915322303771973,3.975399867425146e-05,2.4404351711273193
882,5,,,
900,6,2.300750255584717,3.6966779900140194e-05,2.1350080966949463
925,6,2.2787857055664062,3.422238356616431e-05,2.357187509536743
950,6,2.1496968269348145,3.1529826764555806e-05,2.1796398162841797
975,6,2.1632227897644043,2.889795626162143e-05,2.3095338344573975
1000,6,2.2972195148468018,2.633541943047334e-05,2.3603463172912598
1025,6,2.114561080932617,2.3850635838893348e-05,2.0114264488220215
1029,6,,,
1050,7,2.1707959175109863,2.1451769585683197e-05,2.0921151638031006
1075,7,2.021852970123291,1.9146702476393196e-05,2.4499404430389404
1100,7,2.1656975746154785,1.6943008126564163e-05,2.1105494499206543
1125,7,1.9872386455535889,1.4847927077570323e-05,2.309636354446411
1150,7,2.3432533740997314,1.2868343006823114e-05,2.1877379417419434
1175,7,2.344674587249756,1.101076011050065e-05,2.509793758392334
1176,7,,,
1200,8,2.053378105163574,9.281281733115288e-06,2.5317516326904297
1225,8,2.1644089221954346,7.685590314134294e-06,2.1711952686309814
1250,8,2.228667974472046,6.228928717542204e-06,2.948378801345825
1275,8,2.2835850715637207,4.916083005688865e-06,2.4449727535247803
1300,8,2.0875048637390137,3.7513667140223417e-06,2.83683180809021
1323,8,,,
1325,9,2.0312581062316895,2.738606678373873e-06,2.217989921569824
1350,9,1.841073751449585,1.8811304613615909e-06,2.2100436687469482
1375,9,1.9841984510421753,1.1817554192251e-06,2.07747220993042
1400,9,2.0728845596313477,6.427794450134528e-07,2.200819492340088
1425,9,2.161590576171875,2.6597341854092684e-07,3.155700445175171
1450,9,2.1940863132476807,5.257538791749172e-08,2.4003095626831055
1470,9,,,
