step,loss,lr,grad_norm
0,5.9622907638549805,0.0,0.0
25,5.524196147918701,5e-05,0.0
50,4.792718887329102,0.0001,0.0
75,3.145599365234375,9.995944990857849e-05,133.0
100,2.3962278366088867,9.983786540671051e-05,0.0
125,1.7630456686019897,9.96354437049027e-05,0.0
150,1.5953925848007202,9.935251313189564e-05,0.0
175,1.2480086088180542,9.898953260211338e-05,23.625
200,1.1898163557052612,9.85470908713026e-05,0.0
200,,,
225,0.8080060482025146,9.802590558156862e-05,0.0
250,0.8153796195983887,9.742682209735727e-05,0.0
275,0.8706473708152771,9.675081213427076e-05,8.0625
300,0.8857772350311279,9.599897218294122e-05,0.0
325,1.0669164657592773,9.517252173051911e-05,0.0
350,0.8493449091911316,9.42728012826605e-05,0.0
375,0.9476915001869202,9.330127018922194e-05,6.625
400,0.830566942691803,9.225950427718975e-05,0.0
400,,,
425,0.912971556186676,9.114919329468282e-05,0.0
450,0.8343241214752197,8.997213817017507e-05,0.0
475,0.8300167322158813,8.873024809138272e-05,25.125
500,0.799135148525238,8.742553740855506e-05,0.0
525,0.8557688593864441,8.606012236719073e-05,0.0
550,0.8775366544723511,8.463621767547998e-05,0.0
575,0.7497763633728027,8.315613291203976e-05,9.5625
600,0.7930992245674133,8.162226877976887e-05,0.0
600,,,
625,0.8166812658309937,8.003711321189895e-05,0.0
650,0.6524912714958191,7.840323733655778e-05,0.0
675,0.8375954031944275,7.672329130639005e-05,11.9375
700,0.6190866231918335,7.500000000000001e-05,0.0
725,0.8025810122489929,7.323615860218843e-05,0.0
750,0.8290678262710571,7.143462807015271e-05,0.0
775,0.6693892478942871,6.959833049300377e-05,7.6875
800,0.7755693197250366,6.773024435212678e-05,0.0
800,,,
825,0.8723641633987427,6.583339969007363e-05,0.0
850,0.7427603006362915,6.391087319582264e-05,0.0
875,0.7385724186897278,6.19657832143779e-05,8.9375
900,0.7117196917533875,6.0001284688802226e-05,0.0
925,0.7010824680328369,5.8020564042888015e-05,0.0
950,0.7190834283828735,5.602683401276615e-05,0.0
975,0.6696996092796326,5.402332843583631e-05,5.21875
1000,0.4865211546421051,5.201329700547076e-05,0.0
1000,,,
1025,0.6416571140289307,5e-05,0.0
1050,0.6678102612495422,4.798670299452926e-05,0.0
1075,0.673201322555542,4.597667156416371e-05,5.5
1100,0.6263725161552429,4.397316598723385e-05,0.0
1125,0.8465313911437988,4.197943595711198e-05,0.0
1150,0.6487027406692505,3.9998715311197785e-05,0.0
1175,0.7170311212539673,3.803421678562213e-05,7.71875
1200,0.6315762400627136,3.608912680417737e-05,0.0
1200,,,
1225,0.5688979625701904,3.4166600309926387e-05,0.0
1250,0.5455299019813538,3.226975564787322e-05,0.0
1275,0.6024276614189148,3.0401669506996256e-05,4.03125
1300,0.6969252824783325,2.8565371929847284e-05,0.0
1325,0.5831398367881775,2.6763841397811573e-05,0.0
1350,0.5880482792854309,2.500000000000001e-05,0.0
1375,0.7250396013259888,2.3276708693609943e-05,9.875
1400,0.6454813480377197,2.1596762663442218e-05,0.0
1400,,,
1425,0.5339846611022949,1.996288678810105e-05,0.0
1450,0.6685527563095093,1.837773122023114e-05,0.0
1475,0.7764336466789246,1.684386708796025e-05,7.21875
1500,0.7172512412071228,1.536378232452003e-05,0.0
1525,0.5895925760269165,1.3939877632809278e-05,0.0
1550,0.6123234629631042,1.257446259144494e-05,0.0
1575,0.5632067322731018,1.1269751908617277e-05,4.96875
1600,0.704298734664917,1.0027861829824952e-05,0.0
1600,,,
1625,0.6836851239204407,8.850806705317183e-06,0.0
1650,0.6503498554229736,7.740495722810271e-06,0.0
1675,0.8115448355674744,6.698729810778065e-06,5.4375
1700,0.6717756986618042,5.727198717339511e-06,0.0
1725,0.6423956155776978,4.827478269480895e-06,0.0
1750,0.6993020176887512,4.001027817058789e-06,0.0
1775,0.6105555891990662,3.249187865729264e-06,4.375
1800,0.6543042063713074,2.573177902642726e-06,0.0
1800,,,
1825,0.7857894897460938,1.974094418431388e-06,0.0
1850,0.6332235932350159,1.4529091286973995e-06,0.0
1875,0.6215090155601501,1.0104673978866164e-06,6.59375
1900,0.7244986891746521,6.474868681043578e-07,0.0
1925,0.7453610301017761,3.6455629509730136e-07,0.0
1950,0.6156209111213684,1.6213459328950352e-07,0.0
1975,0.5290077328681946,4.055009142152067e-08,4.78125
