step,loss,lr,grad_norm
0,5.6124186515808105,0.0,0.0
25,5.781434059143066,5e-05,0.0
50,4.124989986419678,0.0001,0.0
75,2.428640365600586,9.995944990857849e-05,115.5
100,1.8803282976150513,9.983786540671051e-05,0.0
125,1.7381583452224731,9.96354437049027e-05,0.0
150,1.3769326210021973,9.935251313189564e-05,0.0
175,1.273099660873413,9.898953260211338e-05,15.375
200,0.9717929363250732,9.85470908713026e-05,0.0
200,,,
225,0.8007778525352478,9.802590558156862e-05,0.0
250,1.1467478275299072,9.742682209735727e-05,0.0
275,0.7650507688522339,9.675081213427076e-05,12.5625
300,0.9096688032150269,9.599897218294122e-05,0.0
325,0.6729580163955688,9.517252173051911e-05,0.0
350,0.9728281497955322,9.42728012826605e-05,0.0
375,0.6040664315223694,9.330127018922194e-05,15.5625
400,0.7563375234603882,9.225950427718975e-05,0.0
400,,,
425,0.7660076022148132,9.114919329468282e-05,0.0
450,0.6044641137123108,8.997213817017507e-05,0.0
475,0.6962850093841553,8.873024809138272e-05,19.0
500,0.7582300305366516,8.742553740855506e-05,0.0
525,0.6259846091270447,8.606012236719073e-05,0.0
550,0.7551466226577759,8.463621767547998e-05,0.0
575,0.6983085870742798,8.315613291203976e-05,15.8125
600,0.6708202362060547,8.162226877976887e-05,0.0
600,,,
625,0.6713231205940247,8.003711321189895e-05,0.0
650,0.7717493772506714,7.840323733655778e-05,0.0
675,0.7089816331863403,7.672329130639005e-05,13.875
700,0.5555648803710938,7.500000000000001e-05,0.0
725,0.6427475810050964,7.323615860218843e-05,0.0
750,0.820600152015686,7.143462807015271e-05,0.0
775,0.5924453735351562,6.959833049300377e-05,23.5
800,0.5982961058616638,6.773024435212678e-05,0.0
800,,,
825,0.5741437077522278,6.583339969007363e-05,0.0
850,0.57129967212677,6.391087319582264e-05,0.0
875,0.6597586274147034,6.19657832143779e-05,40.25
900,0.7076331377029419,6.0001284688802226e-05,0.0
925,0.6125307679176331,5.8020564042888015e-05,0.0
950,0.6339178085327148,5.602683401276615e-05,0.0
975,0.625679612159729,5.402332843583631e-05,8.5
1000,0.6721038222312927,5.201329700547076e-05,0.0
1000,,,
1025,0.5400421023368835,5e-05,0.0
1050,0.7096402049064636,4.798670299452926e-05,0.0
1075,0.6087687015533447,4.597667156416371e-05,26.25
1100,0.6211498379707336,4.397316598723385e-05,0.0
1125,0.5761448740959167,4.197943595711198e-05,0.0
1150,0.6769399642944336,3.9998715311197785e-05,0.0
1175,0.6838708519935608,3.803421678562213e-05,13.625
1200,0.5249298810958862,3.608912680417737e-05,0.0
1200,,,
1225,0.6988567113876343,3.4166600309926387e-05,0.0
1250,0.574334442615509,3.226975564787322e-05,0.0
1275,0.5873838663101196,3.0401669506996256e-05,15.4375
1300,0.6221693158149719,2.8565371929847284e-05,0.0
1325,0.5658175349235535,2.6763841397811573e-05,0.0
1350,0.6048083901405334,2.500000000000001e-05,0.0
1375,0.6352489590644836,2.3276708693609943e-05,22.75
1400,0.6862078905105591,2.1596762663442218e-05,0.0
1400,,,
1425,0.6046872735023499,1.996288678810105e-05,0.0
1450,0.5812930464744568,1.837773122023114e-05,0.0
1475,0.5990334749221802,1.684386708796025e-05,10.5
1500,0.611797571182251,1.536378232452003e-05,0.0
1525,0.5393598675727844,1.3939877632809278e-05,0.0
1550,0.6726934909820557,1.257446259144494e-05,0.0
1575,0.5298091173171997,1.1269751908617277e-05,6.0625
1600,0.6198897957801819,1.0027861829824952e-05,0.0
1600,,,
1625,0.6300360560417175,8.850806705317183e-06,0.0
1650,0.6492862105369568,7.740495722810271e-06,0.0
1675,0.65413898229599,6.698729810778065e-06,17.0
1700,0.6163526177406311,5.727198717339511e-06,0.0
1725,0.5652071833610535,4.827478269480895e-06,0.0
1750,0.8075702786445618,4.001027817058789e-06,0.0
1775,0.5751428604125977,3.249187865729264e-06,29.25
1800,0.592255711555481,2.573177902642726e-06,0.0
1800,,,
1825,0.6613926291465759,1.974094418431388e-06,0.0
1850,0.7323177456855774,1.4529091286973995e-06,0.0
1875,0.657579779624939,1.0104673978866164e-06,15.9375
1900,0.5862784385681152,6.474868681043578e-07,0.0
1925,0.5805216431617737,3.6455629509730136e-07,0.0
1950,0.554887056350708,1.6213459328950352e-07,0.0
1975,0.6715855598449707,4.055009142152067e-08,41.5
