step,loss,lr,grad_norm
0,5.673405170440674,0.0,0.0
25,5.311437606811523,5e-05,0.0
50,3.991787910461426,0.0001,0.0
75,3.4351744651794434,9.995944990857849e-05,173.0
100,2.6208913326263428,9.983786540671051e-05,0.0
125,2.2881734371185303,9.96354437049027e-05,0.0
150,1.6884959936141968,9.935251313189564e-05,0.0
175,1.5004324913024902,9.898953260211338e-05,32.5
200,1.6335492134094238,9.85470908713026e-05,0.0
200,,,
225,1.1973923444747925,9.802590558156862e-05,0.0
250,0.913545548915863,9.742682209735727e-05,0.0
275,0.8597376942634583,9.675081213427076e-05,7.8125
300,0.7705048322677612,9.599897218294122e-05,0.0
325,0.6742704510688782,9.517252173051911e-05,0.0
350,0.6810525059700012,9.42728012826605e-05,0.0
375,0.8200458884239197,9.330127018922194e-05,5.9375
400,0.5802058577537537,9.225950427718975e-05,0.0
400,,,
425,0.6206668019294739,9.114919329468282e-05,0.0
450,0.8119885921478271,8.997213817017507e-05,0.0
475,0.5684680938720703,8.873024809138272e-05,4.3125
500,0.5924636721611023,8.742553740855506e-05,0.0
525,0.584144115447998,8.606012236719073e-05,0.0
550,0.5240827798843384,8.463621767547998e-05,0.0
575,0.5658233165740967,8.315613291203976e-05,4.8125
600,0.6814036965370178,8.162226877976887e-05,0.0
600,,,
625,0.470780611038208,8.003711321189895e-05,0.0
650,0.5082948803901672,7.840323733655778e-05,0.0
675,0.6683463454246521,7.672329130639005e-05,3.8125
700,0.5810769200325012,7.500000000000001e-05,0.0
725,0.589921772480011,7.323615860218843e-05,0.0
750,0.5948769450187683,7.143462807015271e-05,0.0
775,0.4863126277923584,6.959833049300377e-05,3.90625
800,0.5328841209411621,6.773024435212678e-05,0.0
800,,,
825,0.5905805230140686,6.583339969007363e-05,0.0
850,0.5579855442047119,6.391087319582264e-05,0.0
875,0.47029605507850647,6.19657832143779e-05,2.6875
900,0.531998336315155,6.0001284688802226e-05,0.0
925,0.5770040154457092,5.8020564042888015e-05,0.0
950,0.62077397108078,5.602683401276615e-05,0.0
975,0.4684523046016693,5.402332843583631e-05,2.46875
1000,0.4640965759754181,5.201329700547076e-05,0.0
1000,,,
1025,0.48569455742836,5e-05,0.0
1050,0.48166996240615845,4.798670299452926e-05,0.0
1075,0.4600811302661896,4.597667156416371e-05,3.09375
1100,0.5087276697158813,4.397316598723385e-05,0.0
1125,0.5614834427833557,4.197943595711198e-05,0.0
1150,0.49580901861190796,3.9998715311197785e-05,0.0
1175,0.5824111104011536,3.803421678562213e-05,3.484375
1200,0.5121157169342041,3.608912680417737e-05,0.0
1200,,,
1225,0.655414342880249,3.4166600309926387e-05,0.0
1250,0.45854443311691284,3.226975564787322e-05,0.0
1275,0.5619816184043884,3.0401669506996256e-05,3.828125
1300,0.5733590126037598,2.8565371929847284e-05,0.0
1325,0.49091264605522156,2.6763841397811573e-05,0.0
1350,0.5116550922393799,2.500000000000001e-05,0.0
1375,0.4730023443698883,2.3276708693609943e-05,3.03125
1400,0.4601222574710846,2.1596762663442218e-05,0.0
1400,,,
1425,0.536497175693512,1.996288678810105e-05,0.0
1450,0.5355606079101562,1.837773122023114e-05,0.0
1475,0.4468863904476166,1.684386708796025e-05,2.984375
1500,0.4391340911388397,1.536378232452003e-05,0.0
1525,0.5998827219009399,1.3939877632809278e-05,0.0
1550,0.5466703772544861,1.257446259144494e-05,0.0
1575,0.5448705554008484,1.1269751908617277e-05,3.34375
1600,0.44845521450042725,1.0027861829824952e-05,0.0
1600,,,
1625,0.5052778720855713,8.850806705317183e-06,0.0
1650,0.5536965131759644,7.740495722810271e-06,0.0
1675,0.5193551778793335,6.698729810778065e-06,2.53125
1700,0.46331682801246643,5.727198717339511e-06,0.0
1725,0.41721785068511963,4.827478269480895e-06,0.0
1750,0.5105032920837402,4.001027817058789e-06,0.0
1775,0.5016665458679199,3.249187865729264e-06,3.28125
1800,0.48210176825523376,2.573177902642726e-06,0.0
1800,,,
1825,0.44950562715530396,1.974094418431388e-06,0.0
1850,0.44236883521080017,1.4529091286973995e-06,0.0
1875,0.4610322415828705,1.0104673978866164e-06,3.0625
1900,0.4797263443470001,6.474868681043578e-07,0.0
1925,0.4901289939880371,3.6455629509730136e-07,0.0
1950,0.5258392095565796,1.6213459328950352e-07,0.0
1975,0.5330162048339844,4.055009142152067e-08,2.78125
