step,loss,lr,grad_norm
0,5.3737030029296875,0.0,0.0
25,3.2819223403930664,5e-05,0.0
50,0.8880054950714111,0.0001,0.0
75,0.5442249178886414,9.995944990857849e-05,8.125
100,0.5390666127204895,9.983786540671051e-05,0.0
125,0.5579074621200562,9.96354437049027e-05,0.0
150,0.5334191918373108,9.935251313189564e-05,0.0
175,0.5292534232139587,9.898953260211338e-05,3.0625
200,0.5038328170776367,9.85470908713026e-05,0.0
200,,,
225,0.5412174463272095,9.802590558156862e-05,0.0
250,0.5229230523109436,9.742682209735727e-05,0.0
275,0.42721128463745117,9.675081213427076e-05,1.984375
300,0.41401591897010803,9.599897218294122e-05,0.0
325,0.38261690735816956,9.517252173051911e-05,0.0
350,0.4331403374671936,9.42728012826605e-05,0.0
375,0.4681752920150757,9.330127018922194e-05,1.953125
400,0.3902672529220581,9.225950427718975e-05,0.0
400,,,
425,0.44407889246940613,9.114919329468282e-05,0.0
450,0.404113233089447,8.997213817017507e-05,0.0
475,0.36009785532951355,8.873024809138272e-05,2.3125
500,0.42954128980636597,8.742553740855506e-05,0.0
525,0.4875769317150116,8.606012236719073e-05,0.0
550,0.416477769613266,8.463621767547998e-05,0.0
575,0.3546666204929352,8.315613291203976e-05,2.015625
600,0.3763737678527832,8.162226877976887e-05,0.0
600,,,
625,0.4348848760128021,8.003711321189895e-05,0.0
650,0.48884767293930054,7.840323733655778e-05,0.0
675,0.439466655254364,7.672329130639005e-05,2.28125
700,0.44847556948661804,7.500000000000001e-05,0.0
725,0.4266205430030823,7.323615860218843e-05,0.0
750,0.404203325510025,7.143462807015271e-05,0.0
775,0.48980584740638733,6.959833049300377e-05,3.296875
800,0.4908132553100586,6.773024435212678e-05,0.0
800,,,
825,0.38115713000297546,6.583339969007363e-05,0.0
850,0.41028210520744324,6.391087319582264e-05,0.0
875,0.44975394010543823,6.19657832143779e-05,3.140625
900,0.5131006240844727,6.0001284688802226e-05,0.0
925,0.41461801528930664,5.8020564042888015e-05,0.0
950,0.47187715768814087,5.602683401276615e-05,0.0
975,0.4155624210834503,5.402332843583631e-05,3.375
1000,0.4815269708633423,5.201329700547076e-05,0.0
1000,,,
1025,0.47019094228744507,5e-05,0.0
1050,0.41226911544799805,4.798670299452926e-05,0.0
1075,0.45546790957450867,4.597667156416371e-05,2.328125
1100,0.3472896218299866,4.397316598723385e-05,0.0
1125,0.500236451625824,4.197943595711198e-05,0.0
1150,0.4359435737133026,3.9998715311197785e-05,0.0
1175,0.425193727016449,3.803421678562213e-05,3.390625
1200,0.4248010814189911,3.608912680417737e-05,0.0
1200,,,
1225,0.4399734139442444,3.4166600309926387e-05,0.0
1250,0.4339923858642578,3.226975564787322e-05,0.0
1275,0.4379017651081085,3.0401669506996256e-05,2.53125
1300,0.4336506724357605,2.8565371929847284e-05,0.0
1325,0.3915000855922699,2.6763841397811573e-05,0.0
1350,0.4145705997943878,2.500000000000001e-05,0.0
1375,0.4726240038871765,2.3276708693609943e-05,2.6875
1400,0.47888538241386414,2.1596762663442218e-05,0.0
1400,,,
1425,0.47323545813560486,1.996288678810105e-05,0.0
1450,0.4560542702674866,1.837773122023114e-05,0.0
1475,0.4796188473701477,1.684386708796025e-05,2.234375
1500,0.32435211539268494,1.536378232452003e-05,0.0
1525,0.39486581087112427,1.3939877632809278e-05,0.0
1550,0.5177875757217407,1.257446259144494e-05,0.0
1575,0.4444337487220764,1.1269751908617277e-05,2.40625
1600,0.404186487197876,1.0027861829824952e-05,0.0
1600,,,
1625,0.39824581146240234,8.850806705317183e-06,0.0
1650,0.49371790885925293,7.740495722810271e-06,0.0
1675,0.4617398679256439,6.698729810778065e-06,1.796875
1700,0.5529173016548157,5.727198717339511e-06,0.0
1725,0.4349268972873688,4.827478269480895e-06,0.0
1750,0.43904605507850647,4.001027817058789e-06,0.0
1775,0.3983747065067291,3.249187865729264e-06,2.0625
1800,0.5090128183364868,2.573177902642726e-06,0.0
1800,,,
1825,0.44268798828125,1.974094418431388e-06,0.0
1850,0.37480130791664124,1.4529091286973995e-06,0.0
1875,0.43583565950393677,1.0104673978866164e-06,2.359375
1900,0.40037310123443604,6.474868681043578e-07,0.0
1925,0.3908855617046356,3.6455629509730136e-07,0.0
1950,0.43091294169425964,1.6213459328950352e-07,0.0
1975,0.4233400523662567,4.055009142152067e-08,2.390625
