step,loss,lr,grad_norm
0,5.680593490600586,0.0,0.0
25,3.730250358581543,5e-05,0.0
50,0.7683916091918945,0.0001,0.0
75,0.6170658469200134,9.995944990857849e-05,10.1875
100,0.527025580406189,9.983786540671051e-05,0.0
125,0.43958044052124023,9.96354437049027e-05,0.0
150,0.6535685658454895,9.935251313189564e-05,0.0
175,0.4430627226829529,9.898953260211338e-05,4.625
200,0.4559333920478821,9.85470908713026e-05,0.0
200,,,
225,0.48112618923187256,9.802590558156862e-05,0.0
250,0.501630425453186,9.742682209735727e-05,0.0
275,0.47787365317344666,9.675081213427076e-05,5.46875
300,0.5347464084625244,9.599897218294122e-05,0.0
325,0.44935372471809387,9.517252173051911e-05,0.0
350,0.4826025068759918,9.42728012826605e-05,0.0
375,0.38991737365722656,9.330127018922194e-05,3.0
400,0.46004652976989746,9.225950427718975e-05,0.0
400,,,
425,0.35618796944618225,9.114919329468282e-05,0.0
450,0.4786561131477356,8.997213817017507e-05,0.0
475,0.45830732583999634,8.873024809138272e-05,2.953125
500,0.4844712018966675,8.742553740855506e-05,0.0
525,0.4768472909927368,8.606012236719073e-05,0.0
550,0.43607595562934875,8.463621767547998e-05,0.0
575,0.4137776792049408,8.315613291203976e-05,2.421875
600,0.3943499028682709,8.162226877976887e-05,0.0
600,,,
625,0.510668158531189,8.003711321189895e-05,0.0
650,0.4158164858818054,7.840323733655778e-05,0.0
675,0.4861656427383423,7.672329130639005e-05,3.671875
700,0.4772871434688568,7.500000000000001e-05,0.0
725,0.40049058198928833,7.323615860218843e-05,0.0
750,0.4295083284378052,7.143462807015271e-05,0.0
775,0.42051905393600464,6.959833049300377e-05,3.265625
800,0.47317183017730713,6.773024435212678e-05,0.0
800,,,
825,0.525854229927063,6.583339969007363e-05,0.0
850,0.431917279958725,6.391087319582264e-05,0.0
875,0.49274057149887085,6.19657832143779e-05,3.609375
900,0.4557270109653473,6.0001284688802226e-05,0.0
925,0.5219094753265381,5.8020564042888015e-05,0.0
950,0.4500574767589569,5.602683401276615e-05,0.0
975,0.5299080610275269,5.402332843583631e-05,2.15625
1000,0.48718762397766113,5.201329700547076e-05,0.0
1000,,,
1025,0.448011577129364,5e-05,0.0
1050,0.5180757641792297,4.798670299452926e-05,0.0
1075,0.47124427556991577,4.597667156416371e-05,2.4375
1100,0.3730178773403168,4.397316598723385e-05,0.0
1125,0.46437427401542664,4.197943595711198e-05,0.0
1150,0.4151546061038971,3.9998715311197785e-05,0.0
1175,0.41261419653892517,3.803421678562213e-05,2.015625
1200,0.4287059009075165,3.608912680417737e-05,0.0
1200,,,
1225,0.43311402201652527,3.4166600309926387e-05,0.0
1250,0.41873764991760254,3.226975564787322e-05,0.0
1275,0.40561389923095703,3.0401669506996256e-05,3.015625
1300,0.3994390070438385,2.8565371929847284e-05,0.0
1325,0.3708277642726898,2.6763841397811573e-05,0.0
1350,0.3962535560131073,2.500000000000001e-05,0.0
1375,0.4412855803966522,2.3276708693609943e-05,2.5625
1400,0.542729377746582,2.1596762663442218e-05,0.0
1400,,,
1425,0.4672127366065979,1.996288678810105e-05,0.0
1450,0.4544180929660797,1.837773122023114e-05,0.0
1475,0.40147796273231506,1.684386708796025e-05,4.53125
1500,0.4028482139110565,1.536378232452003e-05,0.0
1525,0.43766433000564575,1.3939877632809278e-05,0.0
1550,0.3660790026187897,1.257446259144494e-05,0.0
1575,0.4547187387943268,1.1269751908617277e-05,3.046875
1600,0.4167216122150421,1.0027861829824952e-05,0.0
1600,,,
1625,0.43007561564445496,8.850806705317183e-06,0.0
1650,0.42536744475364685,7.740495722810271e-06,0.0
1675,0.4100717604160309,6.698729810778065e-06,3.296875
1700,0.4213492274284363,5.727198717339511e-06,0.0
1725,0.4894832968711853,4.827478269480895e-06,0.0
1750,0.43909788131713867,4.001027817058789e-06,0.0
1775,0.4357964098453522,3.249187865729264e-06,1.9453125
1800,0.4208826422691345,2.573177902642726e-06,0.0
1800,,,
1825,0.4652594327926636,1.974094418431388e-06,0.0
1850,0.40448808670043945,1.4529091286973995e-06,0.0
1875,0.5100178718566895,1.0104673978866164e-06,2.515625
1900,0.3723072111606598,6.474868681043578e-07,0.0
1925,0.3817889988422394,3.6455629509730136e-07,0.0
1950,0.3718845248222351,1.6213459328950352e-07,0.0
1975,0.45526114106178284,4.055009142152067e-08,2.125
