step,loss,lr,grad_norm
0,5.975581169128418,0.0,0.0
25,3.131396770477295,5e-05,0.0
50,0.7817379832267761,0.0001,0.0
75,0.6680396199226379,9.995944990857849e-05,9.8125
100,0.4208102226257324,9.983786540671051e-05,0.0
125,0.4813927412033081,9.96354437049027e-05,0.0
150,0.7949004173278809,9.935251313189564e-05,0.0
175,0.5071374177932739,9.898953260211338e-05,7.0
200,0.42359092831611633,9.85470908713026e-05,0.0
200,,,
225,0.4653346538543701,9.802590558156862e-05,0.0
250,0.547396183013916,9.742682209735727e-05,0.0
275,0.4803128242492676,9.675081213427076e-05,8.625
300,0.5174791812896729,9.599897218294122e-05,0.0
325,0.5045175552368164,9.517252173051911e-05,0.0
350,0.5113312005996704,9.42728012826605e-05,0.0
375,0.46519970893859863,9.330127018922194e-05,4.21875
400,0.4087941348552704,9.225950427718975e-05,0.0
400,,,
425,0.5759435892105103,9.114919329468282e-05,0.0
450,0.42609602212905884,8.997213817017507e-05,0.0
475,0.5249757766723633,8.873024809138272e-05,1.921875
500,0.383171021938324,8.742553740855506e-05,0.0
525,0.47514718770980835,8.606012236719073e-05,0.0
550,0.5030699968338013,8.463621767547998e-05,0.0
575,0.5267358422279358,8.315613291203976e-05,3.890625
600,0.4440056383609772,8.162226877976887e-05,0.0
600,,,
625,0.4197675585746765,8.003711321189895e-05,0.0
650,0.4338420629501343,7.840323733655778e-05,0.0
675,0.45687708258628845,7.672329130639005e-05,23.0
700,0.42497000098228455,7.500000000000001e-05,0.0
725,0.4685559570789337,7.323615860218843e-05,0.0
750,0.454911470413208,7.143462807015271e-05,0.0
775,0.450898140668869,6.959833049300377e-05,2.3125
800,0.4652668535709381,6.773024435212678e-05,0.0
800,,,
825,0.4380148649215698,6.583339969007363e-05,0.0
850,0.432900071144104,6.391087319582264e-05,0.0
875,0.45905694365501404,6.19657832143779e-05,1.5
900,0.49358999729156494,6.0001284688802226e-05,0.0
925,0.47375205159187317,5.8020564042888015e-05,0.0
950,0.45265069603919983,5.602683401276615e-05,0.0
975,0.3933243155479431,5.402332843583631e-05,1.921875
1000,0.45994651317596436,5.201329700547076e-05,0.0
1000,,,
1025,0.4524219334125519,5e-05,0.0
1050,0.4644211530685425,4.798670299452926e-05,0.0
1075,0.4170105755329132,4.597667156416371e-05,1.6953125
1100,0.5123361945152283,4.397316598723385e-05,0.0
1125,0.4400786757469177,4.197943595711198e-05,0.0
1150,0.47264015674591064,3.9998715311197785e-05,0.0
1175,0.5191813707351685,3.803421678562213e-05,2.375
1200,0.4798656105995178,3.608912680417737e-05,0.0
1200,,,
1225,0.4359624683856964,3.4166600309926387e-05,0.0
1250,0.4436776340007782,3.226975564787322e-05,0.0
1275,0.422080934047699,3.0401669506996256e-05,3.703125
1300,0.4789944291114807,2.8565371929847284e-05,0.0
1325,0.4468677043914795,2.6763841397811573e-05,0.0
1350,0.4207009971141815,2.500000000000001e-05,0.0
1375,0.42589452862739563,2.3276708693609943e-05,1.5078125
1400,0.48580390214920044,2.1596762663442218e-05,0.0
1400,,,
1425,0.38261696696281433,1.996288678810105e-05,0.0
1450,0.41974517703056335,1.837773122023114e-05,0.0
1475,0.45844903588294983,1.684386708796025e-05,3.671875
1500,0.41117560863494873,1.536378232452003e-05,0.0
1525,0.5421232581138611,1.3939877632809278e-05,0.0
1550,0.4541798532009125,1.257446259144494e-05,0.0
1575,0.43982332944869995,1.1269751908617277e-05,3.25
1600,0.3739980459213257,1.0027861829824952e-05,0.0
1600,,,
1625,0.416211873292923,8.850806705317183e-06,0.0
1650,0.43275687098503113,7.740495722810271e-06,0.0
1675,0.4815794825553894,6.698729810778065e-06,1.859375
1700,0.437429279088974,5.727198717339511e-06,0.0
1725,0.4028674066066742,4.827478269480895e-06,0.0
1750,0.3866598904132843,4.001027817058789e-06,0.0
1775,0.46171870827674866,3.249187865729264e-06,3.09375
1800,0.4795456528663635,2.573177902642726e-06,0.0
1800,,,
1825,0.4367275536060333,1.974094418431388e-06,0.0
1850,0.3811229467391968,1.4529091286973995e-06,0.0
1875,0.48412948846817017,1.0104673978866164e-06,2.90625
1900,0.40262335538864136,6.474868681043578e-07,0.0
1925,0.5148647427558899,3.6455629509730136e-07,0.0
1950,0.44024887681007385,1.6213459328950352e-07,0.0
1975,0.3754715621471405,4.055009142152067e-08,2.609375
