step,loss,lr,grad_norm
0,7.4789958000183105,0.0,0.0
25,5.003377914428711,5e-05,0.0
50,4.313975811004639,0.0001,0.0
75,2.9778084754943848,9.995944990857849e-05,7.53125
100,1.9377267360687256,9.983786540671051e-05,0.0
125,1.3419791460037231,9.96354437049027e-05,0.0
150,1.0722391605377197,9.935251313189564e-05,0.0
175,1.0388901233673096,9.898953260211338e-05,2.828125
200,0.952950119972229,9.85470908713026e-05,0.0
200,,,
225,0.8427368402481079,9.802590558156862e-05,0.0
250,0.8062166571617126,9.742682209735727e-05,0.0
275,0.714191734790802,9.675081213427076e-05,2.0625
300,0.8961687088012695,9.599897218294122e-05,0.0
325,0.8409268260002136,9.517252173051911e-05,0.0
350,0.6842942833900452,9.42728012826605e-05,0.0
375,0.7407304644584656,9.330127018922194e-05,3.453125
400,0.6482572555541992,9.225950427718975e-05,0.0
400,,,
425,0.8457026481628418,9.114919329468282e-05,0.0
450,0.6093019247055054,8.997213817017507e-05,0.0
475,0.5991703271865845,8.873024809138272e-05,1.953125
500,0.6247811913490295,8.742553740855506e-05,0.0
525,0.6700379848480225,8.606012236719073e-05,0.0
550,0.6225107312202454,8.463621767547998e-05,0.0
575,0.6418561935424805,8.315613291203976e-05,3.703125
600,0.7497595548629761,8.162226877976887e-05,0.0
600,,,
625,0.6208814978599548,8.003711321189895e-05,0.0
650,0.5001847743988037,7.840323733655778e-05,0.0
675,0.6185065507888794,7.672329130639005e-05,2.34375
700,0.7518296837806702,7.500000000000001e-05,0.0
725,0.5417743921279907,7.323615860218843e-05,0.0
750,0.5720589756965637,7.143462807015271e-05,0.0
775,0.5920657515525818,6.959833049300377e-05,2.359375
800,0.5390327572822571,6.773024435212678e-05,0.0
800,,,
825,0.6011792421340942,6.583339969007363e-05,0.0
850,0.6631801128387451,6.391087319582264e-05,0.0
875,0.5773977637290955,6.19657832143779e-05,3.90625
900,0.6540789604187012,6.0001284688802226e-05,0.0
925,0.5232993960380554,5.8020564042888015e-05,0.0
950,0.5780621767044067,5.602683401276615e-05,0.0
975,0.46334999799728394,5.402332843583631e-05,2.21875
1000,0.6229938268661499,5.201329700547076e-05,0.0
1000,,,
1025,0.6516467928886414,5e-05,0.0
1050,0.5463908314704895,4.798670299452926e-05,0.0
1075,0.5975733995437622,4.597667156416371e-05,3.015625
1100,0.56800776720047,4.397316598723385e-05,0.0
1125,0.7514697313308716,4.197943595711198e-05,0.0
1150,0.7678802013397217,3.9998715311197785e-05,0.0
1175,0.5630568861961365,3.803421678562213e-05,7.9375
1200,0.5141101479530334,3.608912680417737e-05,0.0
1200,,,
1225,0.5540539026260376,3.4166600309926387e-05,0.0
1250,0.5181707143783569,3.226975564787322e-05,0.0
1275,0.5930919647216797,3.0401669506996256e-05,3.328125
1300,0.6090871095657349,2.8565371929847284e-05,0.0
1325,0.602457582950592,2.6763841397811573e-05,0.0
1350,0.48288869857788086,2.500000000000001e-05,0.0
1375,0.5611527562141418,2.3276708693609943e-05,4.0625
1400,0.7207644581794739,2.1596762663442218e-05,0.0
1400,,,
1425,0.6069651246070862,1.996288678810105e-05,0.0
1450,0.7141758799552917,1.837773122023114e-05,0.0
1475,0.6891387701034546,1.684386708796025e-05,2.625
1500,0.5360558032989502,1.536378232452003e-05,0.0
1525,0.5740705728530884,1.3939877632809278e-05,0.0
1550,0.4822341203689575,1.257446259144494e-05,0.0
1575,0.5803362131118774,1.1269751908617277e-05,3.84375
1600,0.49359336495399475,1.0027861829824952e-05,0.0
1600,,,
1625,0.5655210018157959,8.850806705317183e-06,0.0
1650,0.6870051026344299,7.740495722810271e-06,0.0
1675,0.621601402759552,6.698729810778065e-06,4.6875
1700,0.61738520860672,5.727198717339511e-06,0.0
1725,0.644589900970459,4.827478269480895e-06,0.0
1750,0.5355978012084961,4.001027817058789e-06,0.0
1775,0.5598337650299072,3.249187865729264e-06,2.296875
1800,0.49041569232940674,2.573177902642726e-06,0.0
1800,,,
1825,0.7252007126808167,1.974094418431388e-06,0.0
1850,0.5201446413993835,1.4529091286973995e-06,0.0
1875,0.6028291583061218,1.0104673978866164e-06,2.40625
1900,0.5928145051002502,6.474868681043578e-07,0.0
1925,0.6199318170547485,3.6455629509730136e-07,0.0
1950,0.6218082904815674,1.6213459328950352e-07,0.0
1975,0.5817513465881348,4.055009142152067e-08,2.890625
