step,loss,lr,grad_norm
0,5.549699783325195,0.0,0.0
25,5.101255416870117,5e-05,0.0
50,3.155121326446533,0.0001,0.0
75,2.0151314735412598,9.995944990857849e-05,25.875
100,1.530364751815796,9.983786540671051e-05,0.0
125,1.658540964126587,9.96354437049027e-05,0.0
150,1.288487434387207,9.935251313189564e-05,0.0
175,1.1217747926712036,9.898953260211338e-05,44.75
200,1.0307748317718506,9.85470908713026e-05,0.0
200,,,
225,0.9113569855690002,9.802590558156862e-05,0.0
250,1.150881290435791,9.742682209735727e-05,0.0
275,1.277085781097412,9.675081213427076e-05,30.25
300,0.8178472518920898,9.599897218294122e-05,0.0
325,0.8111481070518494,9.517252173051911e-05,0.0
350,0.8387143611907959,9.42728012826605e-05,0.0
375,0.9003621339797974,9.330127018922194e-05,17.0
400,0.9114398956298828,9.225950427718975e-05,0.0
400,,,
425,0.7114306092262268,9.114919329468282e-05,0.0
450,0.7824985384941101,8.997213817017507e-05,0.0
475,0.6551874876022339,8.873024809138272e-05,14.75
500,0.6143906116485596,8.742553740855506e-05,0.0
525,0.7088210582733154,8.606012236719073e-05,0.0
550,0.7041951417922974,8.463621767547998e-05,0.0
575,0.6976897120475769,8.315613291203976e-05,15.75
600,0.8118371367454529,8.162226877976887e-05,0.0
600,,,
625,0.770732581615448,8.003711321189895e-05,0.0
650,0.722667932510376,7.840323733655778e-05,0.0
675,0.784500002861023,7.672329130639005e-05,10.3125
700,0.6963369846343994,7.500000000000001e-05,0.0
725,0.7023186087608337,7.323615860218843e-05,0.0
750,0.6704420447349548,7.143462807015271e-05,0.0
775,0.47493231296539307,6.959833049300377e-05,12.125
800,0.7060100436210632,6.773024435212678e-05,0.0
800,,,
825,0.6793022751808167,6.583339969007363e-05,0.0
850,0.7702441215515137,6.391087319582264e-05,0.0
875,0.5863134264945984,6.19657832143779e-05,11.5625
900,0.6619451642036438,6.0001284688802226e-05,0.0
925,0.6091917753219604,5.8020564042888015e-05,0.0
950,0.6880033016204834,5.602683401276615e-05,0.0
975,0.5815412402153015,5.402332843583631e-05,20.5
1000,0.7618256211280823,5.201329700547076e-05,0.0
1000,,,
1025,0.7333465218544006,5e-05,0.0
1050,0.5482605695724487,4.798670299452926e-05,0.0
1075,0.5201737284660339,4.597667156416371e-05,6.875
1100,0.5620437264442444,4.397316598723385e-05,0.0
1125,0.5246967673301697,4.197943595711198e-05,0.0
1150,0.6293221712112427,3.9998715311197785e-05,0.0
1175,0.517912745475769,3.803421678562213e-05,11.8125
1200,0.5110568404197693,3.608912680417737e-05,0.0
1200,,,
1225,0.6419306993484497,3.4166600309926387e-05,0.0
1250,0.6453282237052917,3.226975564787322e-05,0.0
1275,0.5062651038169861,3.0401669506996256e-05,9.1875
1300,0.5371969938278198,2.8565371929847284e-05,0.0
1325,0.5979495644569397,2.6763841397811573e-05,0.0
1350,0.6838484406471252,2.500000000000001e-05,0.0
1375,0.6417713761329651,2.3276708693609943e-05,26.5
1400,0.5149403214454651,2.1596762663442218e-05,0.0
1400,,,
1425,0.7821106314659119,1.996288678810105e-05,0.0
1450,0.5515099763870239,1.837773122023114e-05,0.0
1475,0.5783990025520325,1.684386708796025e-05,10.25
1500,0.6117051839828491,1.536378232452003e-05,0.0
1525,0.7018235325813293,1.3939877632809278e-05,0.0
1550,0.714451253414154,1.257446259144494e-05,0.0
1575,0.607096254825592,1.1269751908617277e-05,15.25
1600,0.7012854814529419,1.0027861829824952e-05,0.0
1600,,,
1625,0.5550423264503479,8.850806705317183e-06,0.0
1650,0.5493455529212952,7.740495722810271e-06,0.0
1675,0.6908085942268372,6.698729810778065e-06,17.0
1700,0.6560512185096741,5.727198717339511e-06,0.0
1725,0.5895503163337708,4.827478269480895e-06,0.0
1750,0.5332983136177063,4.001027817058789e-06,0.0
1775,0.6418285965919495,3.249187865729264e-06,7.1875
1800,0.5826492309570312,2.573177902642726e-06,0.0
1800,,,
1825,0.5517030358314514,1.974094418431388e-06,0.0
1850,0.6390742063522339,1.4529091286973995e-06,0.0
1875,0.6788217425346375,1.0104673978866164e-06,13.8125
1900,0.5428956151008606,6.474868681043578e-07,0.0
1925,0.5517175197601318,3.6455629509730136e-07,0.0
1950,0.5345653295516968,1.6213459328950352e-07,0.0
1975,0.6603744029998779,4.055009142152067e-08,13.125
